,Date,sp_Open,sp_High,sp_Low,sp_Close,nd_Open,nd_High,nd_Low,nd_Close,dj_Open,dj_High,dj_Low,dj_Close,ph_Open,ph_High,ph_Low,ph_Close,sp_trend,nd_trend,dj_trend,ph_trend
0,2021-01-04,3764.61,4394.6,4327.22,3700.65,2821.99,12958.72,12543.24,2783.21,30627.47,30674.28,29881.82,30223.89,2821.99,2872.2,2763.09,2783.21,1,1,1,1
1,2021-01-05,3698.02,4456.06,4373.81,3726.86,2783.18,12828.27,12665.65,2837.17,30204.25,30504.89,30141.78,30391.6,2783.18,2838.19,2782.62,2837.17,1,1,1,1
2,2021-01-06,3712.2,4489.55,4429.68,3748.14,2820.86,12909.63,12649.99,2827.96,30362.78,31022.65,30313.07,30829.4,2820.86,2884.61,2803.52,2827.96,1,1,1,1
3,2021-01-07,3764.71,4472.77,4429.28,3803.79,2873.66,13090.91,12867.34,2937.0,30901.18,31193.4,30897.86,31041.13,2873.66,2943.88,2873.17,2937.0,0,1,0,1
4,2021-01-08,3815.05,4426.22,4364.84,3824.68,2982.33,13208.09,13036.55,2936.47,31069.58,31140.67,30793.27,31097.97,2982.33,2994.07,2904.54,2936.47,0,1,0,1
5,2021-01-11,3803.14,4526.33,4401.41,3799.61,2915.14,13138.27,12999.51,2969.92,31015.37,31096.98,30832.06,31008.69,2915.14,2991.6,2914.08,2969.92,0,1,0,1
6,2021-01-12,3801.62,4588.92,4484.31,3801.19,2989.1,13105.04,12963.92,2988.02,31015.01,31114.56,30888.76,31068.69,2989.1,3014.36,2959.92,2988.02,1,1,1,1
7,2021-01-13,3802.23,4590.03,4547.0,3809.84,3019.74,13171.15,13051.06,2991.95,31084.88,31153.37,30992.05,31060.47,3019.74,3020.73,2980.15,2991.95,1,1,1,1
8,2021-01-14,3814.98,4531.32,4465.4,3795.54,3037.42,13220.16,13098.41,3055.64,31085.67,31223.78,30982.24,30991.52,3037.42,3089.71,3029.73,3055.64,1,1,1,1
9,2021-01-15,3788.73,4521.86,4471.47,3768.25,3043.45,13139.83,12949.76,2992.77,30926.77,30941.98,30612.67,30814.26,3043.45,3043.45,2975.96,2992.77,1,1,1,1
10,2021-01-19,3781.88,4539.66,4451.5,3798.91,3041.88,13206.86,13078.7,3093.32,30887.42,31086.62,30865.03,30930.52,3041.88,3097.53,3034.99,3093.32,1,0,1,0
11,2021-01-20,3816.22,4542.88,4470.39,3851.85,3124.03,13486.13,13329.77,3085.04,31017.54,31235.98,30997.79,31188.38,3124.03,3138.56,3077.26,3085.04,0,0,0,0
12,2021-01-21,3857.46,4595.31,4544.32,3853.07,3110.78,13560.35,13454.07,3132.17,31198.01,31272.22,31120.92,31176.01,3110.78,3141.02,3081.9,3132.17,0,0,0,0
13,2021-01-22,3844.24,4550.49,4483.53,3841.47,3098.36,13567.14,13463.66,3074.4,31141.56,31141.56,30908.47,30996.98,3098.36,3116.24,3073.94,3074.4,0,0,0,0
14,2021-01-25,3851.68,4516.89,4414.02,3855.36,3102.93,13728.98,13368.68,3079.21,30989.85,30989.85,30564.06,30960.0,3102.93,3107.82,3023.62,3079.21,0,0,0,0
15,2021-01-26,3862.96,4432.72,4292.46,3849.62,3078.08,13702.69,13603.19,3031.77,30968.55,31121.42,30921.71,30937.04,3078.08,3079.4,3030.0,3031.77,0,1,0,1
16,2021-01-27,3836.83,4428.74,4309.5,3750.77,2941.59,13538.42,13192.91,2875.13,30893.78,30893.78,30206.91,30303.17,2941.59,2961.56,2862.24,2875.13,1,1,1,1
17,2021-01-28,3755.75,4453.23,4304.8,3787.38,2933.12,13507.64,13316.52,2935.12,30377.19,30951.41,30377.19,30603.36,2933.12,2977.53,2909.12,2935.12,1,1,1,1
18,2021-01-29,3778.05,4411.01,4287.11,3714.24,2940.78,13322.0,12985.05,2887.08,30553.91,30553.91,29856.3,29982.62,2940.78,2954.71,2875.12,2887.08,1,1,1,1
19,2021-02-01,3731.17,4417.35,4222.62,3773.86,2938.7,13431.46,13132.47,2999.99,30054.73,30335.91,30014.97,30211.91,2938.7,3006.7,2924.67,2999.99,1,1,1,1
20,2021-02-02,3791.84,4494.52,4395.34,3826.31,3047.38,13652.7,13535.86,3047.33,30276.88,30840.54,30276.88,30687.48,3047.38,3049.3,3005.12,3047.33,1,1,1,1
21,2021-02-03,3840.27,4602.11,4477.95,3830.17,3057.63,13723.83,13585.34,2982.87,30689.65,30793.41,30521.31,30723.6,3057.63,3063.28,2982.48,2982.87,1,1,1,1
22,2021-02-04,3836.66,4611.55,4530.2,3871.74,2966.53,13778.42,13631.62,3008.42,30737.78,31065.96,30737.78,31055.86,2966.53,3010.53,2951.95,3008.42,1,1,1,1
23,2021-02-05,3878.3,4632.24,4568.7,3886.83,3028.02,13878.16,13761.66,2985.01,31093.81,31252.18,31083.22,31148.24,3028.02,3029.48,2982.7,2985.01,1,1,1,1
24,2021-02-08,3892.59,4665.13,4614.75,3915.59,3013.09,13987.74,13894.15,3078.48,31191.2,31386.1,31191.2,31385.76,3013.09,3079.28,3010.71,3078.48,1,1,1,1
25,2021-02-09,3910.49,4744.13,4650.29,3911.23,3070.79,14044.95,13966.55,3064.95,31359.88,31439.47,31245.86,31375.83,3070.79,3089.39,3053.57,3064.95,1,1,1,1
26,2021-02-10,3920.78,4748.83,4706.71,3909.88,3096.01,14109.12,13845.47,3074.86,31428.02,31511.44,31221.32,31437.8,3096.01,3108.92,3035.04,3074.86,1,1,1,1
27,2021-02-11,3916.4,4714.13,4638.27,3916.38,3107.17,14058.91,13916.85,3180.84,31466.49,31543.82,31244.36,31430.7,3107.17,3182.62,3106.15,3180.84,0,1,1,1
28,2021-02-12,3911.65,4673.02,4582.24,3934.83,3172.23,14102.04,13937.71,3219.87,31420.8,31475.31,31347.8,31458.4,3172.23,3226.08,3155.59,3219.87,0,0,1,0
29,2021-02-16,3939.61,4707.95,4662.74,3932.59,3250.56,14175.12,13995.45,3238.92,31472.08,31608.63,31443.48,31522.75,3250.56,3269.02,3222.44,3238.92,0,0,1,0
30,2021-02-17,3918.5,4725.01,4671.26,3931.33,3197.27,13976.43,13804.26,3178.24,31485.61,31643.7,31338.76,31613.02,3197.27,3216.39,3138.05,3178.24,0,1,1,1
31,2021-02-18,3915.86,4797.7,4699.44,3913.97,3142.24,13905.96,13714.35,3146.79,31558.6,31558.6,31285.32,31493.34,3142.24,3160.02,3108.47,3146.79,0,0,0,0
32,2021-02-19,3921.16,4818.62,4774.27,3906.71,3195.06,13985.58,13842.6,3223.46,31504.13,31647.53,31469.34,31494.32,3195.06,3241.71,3188.12,3223.46,0,0,0,0
33,2021-02-22,3885.55,4796.64,4758.17,3876.5,3181.32,13757.06,13530.96,3102.01,31381.12,31653.48,31286.57,31521.69,3181.32,3202.55,3093.58,3102.01,1,1,1,1
34,2021-02-23,3857.07,4786.83,4765.75,3881.37,3041.87,13526.09,13003.98,3083.88,31501.89,31653.38,31158.76,31537.35,3041.87,3105.04,2960.36,3083.88,0,0,0,0
35,2021-02-24,3873.71,4808.93,4775.33,3925.43,3063.17,13607.36,13286.59,3183.74,31499.75,32009.64,31421.29,31961.86,3063.17,3186.12,3037.07,3183.74,0,0,0,0
36,2021-02-25,3915.8,4804.06,4778.08,3829.34,3142.9,13602.86,13066.38,2999.16,31955.94,31984.77,31293.32,31402.01,3142.9,3163.53,2988.43,2999.16,0,0,0,0
37,2021-02-26,3839.66,4807.02,4780.04,3811.15,3041.8,13368.06,13024.53,3067.62,31401.29,31450.89,30911.37,30932.37,3041.8,3096.95,2991.08,3067.62,1,0,1,0
38,2021-03-01,3842.51,4791.49,4733.99,3901.82,3118.43,13596.59,13362.66,3169.11,31065.9,31668.34,31065.9,31535.51,3118.43,3172.42,3093.59,3169.11,0,0,1,0
39,2021-03-02,3903.64,4740.74,4703.96,3870.29,3165.39,13601.33,13352.0,3070.94,31535.37,31623.27,31377.16,31391.52,3165.39,3166.57,3068.25,3070.94,1,0,1,0
40,2021-03-03,3863.99,4697.67,4645.53,3819.72,3068.2,13372.52,12995.07,2975.58,31352.96,31563.31,31260.14,31270.09,3068.2,3079.94,2972.85,2975.58,1,0,1,0
41,2021-03-04,3818.53,4651.14,4583.16,3768.47,2947.91,13068.71,12553.96,2831.63,31289.01,31461.97,30547.53,30924.14,2947.91,2980.08,2793.82,2831.63,1,1,1,1
42,2021-03-05,3793.58,4587.9,4531.1,3841.94,2897.98,12941.21,12397.05,2920.75,31029.18,31580.33,30766.81,31496.3,2897.98,2928.12,2764.82,2920.75,1,1,1,1
43,2021-03-08,3844.39,4666.7,4600.22,3821.35,2905.78,13001.0,12599.23,2762.75,31512.15,32148.04,31512.15,31802.44,2905.78,2923.64,2759.2,2762.75,1,1,1,1
44,2021-03-09,3851.93,4731.99,4651.89,3875.44,2861.05,13151.54,12882.49,2932.21,31892.35,32150.32,31822.64,31832.74,2861.05,2952.12,2853.65,2932.21,1,1,1,1
45,2021-03-10,3891.99,4712.6,4611.22,3898.81,2969.94,13277.11,13035.44,2879.32,31906.96,32389.5,31906.96,32297.02,2969.94,2976.06,2876.18,2879.32,1,1,1,1
46,2021-03-11,3915.54,4660.47,4606.52,3939.34,2965.21,13433.62,13246.33,2997.13,32354.5,32661.59,32345.7,32485.59,2965.21,3015.04,2948.38,2997.13,0,0,1,0
47,2021-03-12,3924.52,4710.3,4667.6,3943.34,2933.8,13324.69,13158.72,2965.09,32462.4,32793.32,32462.4,32778.64,2933.8,2970.11,2924.34,2965.09,0,1,0,1
48,2021-03-15,3942.96,4713.57,4670.24,3968.94,2983.52,13460.35,13272.5,3032.05,32798.84,32973.4,32629.75,32953.46,2983.52,3034.05,2963.69,3032.05,0,1,0,1
49,2021-03-16,3973.59,4695.26,4665.98,3962.71,3058.33,13620.71,13397.08,3070.32,32966.75,32966.75,32778.23,32825.95,3058.33,3116.11,3051.65,3070.32,0,0,0,0
50,2021-03-17,3949.57,4705.06,4674.52,3974.12,3024.82,13595.0,13272.69,3107.92,32825.52,33047.58,32782.18,33015.37,3024.82,3130.02,3004.07,3107.92,0,0,0,0
51,2021-03-18,3953.5,4694.04,4631.97,3915.46,3058.61,13384.46,13101.92,2976.22,32928.16,33227.78,32831.25,32862.3,3058.61,3069.31,2974.73,2976.22,0,0,0,0
52,2021-03-19,3913.14,4612.6,4540.51,3913.1,2976.64,13252.37,13039.45,3011.37,32858.36,32858.36,32505.07,32627.97,2976.64,3039.39,2945.46,3011.37,1,1,1,1
53,2021-03-22,3916.48,4608.03,4495.12,3940.59,3055.41,13455.64,13278.78,3077.55,32601.82,32810.35,32512.53,32731.2,3055.41,3112.44,3040.67,3077.55,1,0,1,0
54,2021-03-23,3937.6,4595.46,4504.73,3910.52,3082.02,13405.15,13202.43,2994.21,32691.5,32753.77,32356.28,32423.15,3082.02,3082.23,2982.21,2994.21,1,1,1,1
55,2021-03-24,3919.93,4652.94,4510.27,3889.14,3049.79,13292.92,12961.35,2953.97,32470.88,32787.99,32418.15,32420.06,3049.79,3057.4,2952.26,2953.97,1,1,1,1
56,2021-03-25,3879.34,4646.02,4560.0,3909.52,2902.43,13021.86,12786.81,2959.88,32346.81,32672.69,32071.41,32619.48,2902.43,2971.76,2881.01,2959.88,1,1,1,1
57,2021-03-26,3917.12,4672.95,4625.26,3974.54,2961.23,13149.55,12878.72,3106.28,32681.07,33098.83,32681.07,33072.88,2961.23,3110.71,2958.8,3106.28,1,1,1,1
58,2021-03-29,3969.31,4664.63,4585.43,3971.09,3077.15,13143.41,12968.16,3054.63,33087.55,33259.0,32905.13,33171.37,3077.15,3085.63,3021.98,3054.63,1,1,1,1
59,2021-03-30,3963.34,4702.87,4659.89,3958.55,3034.8,13075.75,12922.57,3044.55,33127.88,33170.93,32988.92,33066.96,3034.8,3055.75,3013.27,3044.55,1,1,1,1
60,2021-03-31,3967.25,4699.39,4652.66,3972.89,3073.47,13325.54,13118.38,3124.94,33116.04,33173.77,32980.57,32981.55,3073.47,3147.05,3072.54,3124.94,1,1,1,1
61,2021-04-01,3992.78,4743.83,4682.17,4019.87,3187.29,13487.08,13404.18,3240.17,33054.58,33167.17,32985.35,33153.21,3187.29,3242.33,3180.48,3240.17,1,1,1,1
62,2021-04-05,4034.44,4717.75,4694.22,4077.91,3282.91,13720.58,13582.76,3305.43,33222.38,33617.95,33222.38,33527.19,3282.91,3314.16,3255.28,3305.43,1,0,1,0
63,2021-04-06,4075.57,4708.8,4672.78,4073.94,3283.46,13776.71,13674.28,3266.1,33500.02,33544.79,33380.43,33430.24,3283.46,3304.48,3236.86,3266.1,1,0,1,0
64,2021-04-07,4074.29,4701.5,4684.41,4079.95,3259.26,13733.03,13653.59,3266.46,33444.98,33521.76,33347.96,33446.26,3259.26,3281.4,3241.06,3266.46,1,0,1,0
65,2021-04-08,4089.95,4714.95,4679.42,4097.17,3301.42,13830.14,13758.71,3301.26,33469.89,33506.8,33342.64,33503.57,3301.42,3304.54,3274.04,3301.26,1,0,1,0
66,2021-04-09,4096.11,4697.42,4672.86,4128.8,3272.39,13905.41,13748.35,3294.53,33526.19,33810.87,33526.19,33800.6,3272.39,3295.76,3262.93,3294.53,1,0,1,0
67,2021-04-12,4124.71,4688.47,4650.77,4127.99,3273.6,13877.0,13783.95,3258.33,33775.06,33786.19,33665.54,33745.4,3273.6,3274.61,3231.13,3258.33,1,0,1,0
68,2021-04-13,4130.1,4664.55,4648.31,4141.59,3275.52,14011.51,13902.45,3252.7,33721.16,33741.64,33545.84,33677.27,3275.52,3284.85,3223.46,3252.7,0,0,1,0
69,2021-04-14,4141.58,4684.85,4630.86,4124.66,3244.56,14033.63,13839.04,3213.88,33668.95,33911.25,33668.95,33730.89,3244.56,3268.87,3200.46,3213.88,1,0,1,0
70,2021-04-15,4139.76,4708.53,4670.87,4170.42,3250.31,14049.13,13970.42,3271.33,33788.53,34068.73,33788.53,34035.99,3250.31,3276.56,3226.1,3271.33,0,0,0,0
71,2021-04-16,4174.14,4714.92,4694.39,4185.47,3274.15,14062.5,13977.05,3253.08,34058.16,34256.75,34058.16,34200.67,3274.15,3275.59,3248.46,3253.08,0,0,0,0
72,2021-04-19,4179.8,4718.5,4681.32,4163.26,3228.01,14041.79,13842.57,3171.0,34182.38,34182.38,33980.56,34077.63,3228.01,3240.95,3141.2,3171.0,1,1,0,1
73,2021-04-20,4159.18,4683.0,4662.59,4134.94,3158.86,13927.67,13698.67,3121.43,34034.18,34034.18,33687.01,33821.3,3158.86,3171.17,3106.19,3121.43,1,1,1,1
74,2021-04-21,4128.42,4663.46,4621.19,4173.42,3128.23,13951.35,13706.86,3207.25,33808.3,34160.34,33773.8,34137.31,3128.23,3209.28,3113.74,3207.25,1,0,0,0
75,2021-04-22,4170.46,4635.15,4613.34,4134.98,3203.85,14015.87,13771.04,3133.17,34109.88,34126.57,33717.19,33815.9,3203.85,3206.89,3119.01,3133.17,1,1,1,1
76,2021-04-23,4138.78,4620.34,4595.06,4180.17,3147.1,14062.74,13856.83,3196.98,33804.52,34157.57,33713.29,34043.49,3147.1,3207.33,3145.75,3196.98,1,0,0,0
77,2021-04-26,4185.03,4608.08,4567.59,4187.62,3199.51,14154.03,14019.5,3250.26,34044.23,34148.94,33941.37,33981.57,3199.51,3256.17,3195.37,3250.26,1,0,1,0
78,2021-04-27,4188.25,4597.55,4562.84,4186.72,3266.25,14171.24,14064.28,3225.61,33932.13,34043.98,33870.46,33984.93,3266.25,3266.25,3220.34,3225.61,0,0,1,0
79,2021-04-28,4185.14,4584.57,4551.66,4183.18,3208.6,14133.65,14034.7,3178.49,33860.46,33946.6,33805.56,33820.38,3208.6,3208.6,3175.61,3178.49,0,0,1,0
80,2021-04-29,4206.14,4598.53,4569.17,4211.47,3218.36,14211.57,13952.8,3202.5,33855.64,34087.21,33744.28,34060.36,3218.36,3222.29,3153.98,3202.5,0,0,1,0
81,2021-04-30,4198.1,4572.62,4537.36,4181.17,3145.51,14084.76,13941.63,3108.99,33988.75,33988.75,33784.96,33874.85,3145.51,3169.38,3101.38,3108.99,1,1,1,1
82,2021-05-03,4191.98,4559.67,4524.0,4192.66,3130.06,14042.12,13881.51,3073.38,33904.89,34221.06,33904.89,34113.23,3130.06,3134.06,3060.0,3073.38,0,0,1,0
83,2021-05-04,4179.04,4551.44,4526.89,4164.66,3029.3,13795.57,13485.59,3024.31,34080.2,34147.78,33765.68,34133.03,3029.3,3036.1,2969.12,3024.31,0,0,1,0
84,2021-05-05,4177.06,4540.87,4524.4,4167.59,3063.24,13753.05,13553.93,3042.88,34163.99,34331.2,34039.66,34230.34,3063.24,3080.69,3022.7,3042.88,0,0,0,0
85,2021-05-06,4169.14,4520.4,4496.41,4201.62,3032.55,13635.73,13439.39,3066.22,34245.11,34561.29,34185.06,34548.53,3032.55,3068.53,3002.74,3066.22,0,0,0,0
86,2021-05-07,4210.34,4488.75,4447.47,4232.6,3103.95,13828.62,13690.75,3112.03,34578.27,34811.39,34464.31,34777.76,3103.95,3129.87,3085.74,3112.03,0,0,0,0
87,2021-05-10,4228.29,4475.82,4447.69,4188.43,3077.28,13687.93,13401.74,2967.11,34785.27,35091.56,34741.57,34742.82,3077.28,3078.39,2965.42,2967.11,0,0,0,0
88,2021-05-11,4150.34,4439.73,4386.75,4152.1,2876.27,13423.31,13107.67,2976.01,34572.74,34572.74,34075.31,34269.16,2876.27,2982.84,2872.31,2976.01,0,0,0,0
89,2021-05-12,4130.55,4372.87,4329.92,4063.04,2906.44,13288.61,13002.54,2851.15,34206.4,34207.87,33555.22,33587.66,2906.44,2926.86,2842.33,2851.15,1,1,1,1
90,2021-05-13,4074.99,4374.89,4342.09,4112.5,2899.8,13247.87,13007.24,2893.94,33624.74,34181.77,33623.49,34021.45,2899.8,2934.45,2862.88,2893.94,1,1,1,1
91,2021-05-14,4129.58,4415.88,4360.59,4173.85,2932.04,13460.88,13242.97,2981.42,34050.86,34454.05,34050.86,34382.13,2932.04,3006.14,2907.4,2981.42,0,1,0,1
92,2021-05-17,4169.92,4412.02,4386.22,4163.29,2946.81,13399.17,13265.4,2954.63,34375.29,34383.84,34176.65,34327.79,2946.81,2955.61,2904.25,2954.63,1,1,1,1
93,2021-05-18,4165.94,4429.97,4383.73,4127.83,2977.86,13485.34,13299.93,2929.15,34351.18,34408.99,34044.1,34060.66,2977.86,2985.93,2927.34,2929.15,1,1,1,1
94,2021-05-19,4098.45,4365.57,4290.49,4115.68,2864.35,13304.61,13072.23,2987.28,33945.81,33945.81,33473.8,33896.04,2864.35,2989.82,2862.68,2987.28,1,1,1,1
